epoch,precision,recall,f1,priority,threshold,val_loss,lr
1,0.406094412686705,0.996155150966866,0.576977239233666,0.771852653720796,0.47,0.830539867455183,6.05840300496789E-08
2,0.431899820395131,0.978966414112858,0.599369958804999,0.781092100477734,0.48,0.815730804447518,1.21168060099358E-07
3,0.470017101561207,0.963473934185231,0.631813125695217,0.796276563116822,0.48,0.779022424546785,1.81752090149037E-07
4,0.5772334701968,0.922085265181499,0.710000435369411,0.823669640668651,0.49,0.697120354099329,2.42336120198716E-07
5,0.596346112349853,0.937577745109126,0.729007297986459,0.841298830547881,0.44,0.59261644441028,3.02920150248395E-07
6,0.630853574963832,0.936899242338573,0.754004368401893,0.854035663958054,0.39,0.500042160149924,3.63504180298073E-07
7,0.656028368794326,0.941422594142259,0.773231783773743,0.866068825335138,0.38,0.443454602343398,4.24088210347752E-07
8,0.720634920634921,0.924120773493158,0.809790417678244,0.874721696623177,0.41,0.398721377776806,4.84672240397431E-07
9,0.748721694667641,0.927287119755739,0.828492043445314,0.885070371631684,0.39,0.361852768072209,5.4525627044711E-07
10,0.757645330149692,0.932941309510347,0.836205148996554,0.891679814442531,0.34,0.329170363110512,6.05840300496789E-07
11,0.787526225443448,0.933845979871084,0.854467380619794,0.900388152533842,0.37,0.308085813685212,6.66424330546468E-07
12,0.793327597744002,0.938482415469863,0.859821798590966,0.905352036722077,0.35,0.290080600656396,7.27008360596147E-07
13,0.80059495249976,0.943458102453918,0.866175249169435,0.910947085785623,0.37,0.276634776639904,7.87592390645826E-07
14,0.801492394527887,0.947416035282144,0.868366500829187,0.914129839588489,0.32,0.260880494793487,8.48176420695505E-07
15,0.82206300912749,0.94718986769196,0.880201765447667,0.919207214528218,0.29,0.248374303824507,9.08760450745184E-07
16,0.828120374938333,0.949112292208527,0.884497839603752,0.922165818479079,0.35,0.237734572442118,9.69344480794863E-07
17,0.833481921743437,0.951487051905462,0.888583799767663,0.925286469347654,0.36,0.229919599802342,1.02992851084454E-06
18,0.855382421835217,0.94979079497908,0.900117886614511,0.929277951448975,0.37,0.217826795785926,1.09051254089422E-06
19,0.858265306122449,0.951147800520185,0.902322587566379,0.930997075712304,0.41,0.21606328786719,1.1510965709439E-06
20,0.865072850400164,0.953409476422029,0.907095594168594,0.934327760638561,0.38,0.205575734506859,1.21168060099358E-06
21,0.866824109251463,0.954653398168042,0.908621246367452,0.935691957716397,0.37,0.199261375399696,1.27226463104326E-06
22,0.883357786627541,0.953183308831844,0.916943160184933,0.938348842366857,0.34,0.189732074315205,1.33284866109294E-06
23,0.861038174106241,0.964152436955784,0.909682582021872,0.941600033204404,0.34,0.187575054311648,1.39343269114261E-06
24,0.867242254951752,0.96550944249689,0.913741438356164,0.944113937318522,0.35,0.182650214472656,1.45401672119229E-06
25,0.874245369896654,0.966187945267443,0.917920068758058,0.946284193250266,0.37,0.178411392029375,1.51460075124197E-06
26,0.874183673469388,0.968788872554563,0.919058091508877,0.948264409458873,0.34,0.171063915523159,1.57518478129165E-06
27,0.881020996294772,0.967997285988918,0.922463494800366,0.94925478851848,0.43,0.176737272245593,1.63576881134133E-06
28,0.89434554973822,0.965848693882167,0.928722883705758,0.950647787409354,0.33,0.159719292171906,1.69635284139101E-06
29,0.885075242218099,0.971050548456406,0.926071717444055,0.952544702152659,0.32,0.156742785396704,1.75693687144069E-06
30,0.906952098346757,0.967771118398733,0.936375075222933,0.954963397314961,0.42,0.154404522396278,1.81752090149037E-06
31,0.902387714315767,0.970145878095669,0.935040871934605,0.955792239273081,0.37,0.148864517995525,1.87810493154005E-06
32,0.902226423020374,0.971502883636775,0.935583991287776,0.956809371101264,0.37,0.145985188623241,1.93868896158972E-06
33,0.90620718726947,0.972407553997512,0.938140955705869,0.958404848453588,0.39,0.141841159164256,1.9992729916394E-06
34,0.909773640786968,0.972633721587696,0.940154123626824,0.959376252771798,0.38,0.137128440349168,2.05985702168908E-06
35,0.917948717948718,0.971615967431867,0.944020216447838,0.960386298566615,0.43,0.137633006402486,2.12044105173876E-06
36,0.909992613696317,0.975234648874816,0.941484716157205,0.961448413712005,0.31,0.129118985469388,2.18102508178844E-06
37,0.912084432717678,0.977270157186475,0.943552789605852,0.963498113733031,0.36,0.126740666111758,2.24160911183812E-06
38,0.917517006802721,0.976139319235553,0.945920771464577,0.963823133253842,0.36,0.123962093724025,2.3021931418878E-06
39,0.91710009553126,0.977043989596291,0.946123521681997,0.964436405398291,0.4,0.123925348386428,2.36277717193748E-06
40,0.931877162629758,0.974556146104263,0.952738930960146,0.965710441693398,0.45,0.12013548460984,2.42336120198716E-06
